ID,Date,Time,Category,Details,Image Path,id,date,time,class,details,image_path
62.0,"March 24, 2025",10:58 AM,Normal,Normal detected with 0.49 confidence,cheating_frames/Normal_2025-03-24_10-58-17.jpg,,,,,,
63.0,"March 24, 2025",10:58 AM,Mobile Detected,Mobile Detected detected with 0.64 confidence,cheating_frames/Mobile Detected_2025-03-24_10-58-20.jpg,,,,,,
64.0,"March 24, 2025",10:58 AM,Normal,Normal detected with 0.64 confidence,cheating_frames/Normal_2025-03-24_10-58-22.jpg,,,,,,
65.0,"March 24, 2025",10:58 AM,Cheating,Cheating detected with 0.45 confidence,cheating_frames/Cheating_2025-03-24_10-58-23.jpg,,,,,,
66.0,"March 24, 2025",10:58 AM,Giving Cheats,Giving Cheats detected with 0.67 confidence,cheating_frames/Giving Cheats_2025-03-24_10-58-23.jpg,,,,,,
67.0,"March 24, 2025",10:58 AM,Cheating,Cheating detected with 0.46 confidence,cheating_frames/Cheating_2025-03-24_10-58-32.jpg,,,,,,
68.0,"March 24, 2025",10:58 AM,Normal,Normal detected with 0.41 confidence,cheating_frames/Normal_2025-03-24_10-58-33.jpg,,,,,,
69.0,"March 24, 2025",11:19 AM,Normal,Normal detected with 0.43 confidence,cheating_frames/Normal_2025-03-24_11-19-15.jpg,,,,,,
70.0,"March 24, 2025",11:19 AM,Cheating,Cheating detected with 0.42 confidence,cheating_frames/Cheating_2025-03-24_11-19-16.jpg,,,,,,
71.0,"March 24, 2025",11:19 AM,Giving Cheats,Giving Cheats detected with 0.52 confidence,cheating_frames/Giving Cheats_2025-03-24_11-19-18.jpg,,,,,,
72.0,"March 24, 2025",11:19 AM,Mobile Detected,Mobile Detected detected with 0.69 confidence,cheating_frames/Mobile Detected_2025-03-24_11-19-18.jpg,,,,,,
73.0,"March 24, 2025",11:19 AM,Mobile Detected,Mobile Detected detected with 0.58 confidence,cheating_frames/Mobile Detected_2025-03-24_11-19-23.jpg,,,,,,
74.0,"March 24, 2025",11:19 AM,Giving Cheats,Giving Cheats detected with 0.50 confidence,cheating_frames/Giving Cheats_2025-03-24_11-19-26.jpg,,,,,,
75.0,"March 24, 2025",11:19 AM,Mobile Detected,Mobile Detected detected with 0.50 confidence,cheating_frames/Mobile Detected_2025-03-24_11-19-29.jpg,,,,,,
76.0,"March 24, 2025",11:19 AM,Mobile Detected,Mobile Detected detected with 0.75 confidence,cheating_frames/Mobile Detected_2025-03-24_11-19-34.jpg,,,,,,
77.0,"March 24, 2025",11:19 AM,Giving Cheats,Giving Cheats detected with 0.47 confidence,cheating_frames/Giving Cheats_2025-03-24_11-19-35.jpg,,,,,,
78.0,"March 24, 2025",11:19 AM,Mobile Detected,Mobile Detected detected with 0.58 confidence,cheating_frames/Mobile Detected_2025-03-24_11-19-41.jpg,,,,,,
79.0,"March 24, 2025",11:19 AM,Normal,Normal detected with 0.53 confidence,cheating_frames/Normal_2025-03-24_11-19-41.jpg,,,,,,
80.0,"March 24, 2025",11:19 AM,Mobile Detected,Mobile Detected detected with 0.60 confidence,cheating_frames/Mobile Detected_2025-03-24_11-19-46.jpg,,,,,,
81.0,"March 24, 2025",11:19 AM,Giving Cheats,Giving Cheats detected with 0.65 confidence,cheating_frames/Giving Cheats_2025-03-24_11-19-48.jpg,,,,,,
